"brand","car_type","year","selling_price","km_driven","fuel","seller_type","transmission","owner","mileage","engine","max_power","seats","torque","rpm"
"Maruti","Swift Dzire VDI",2014,5310,145500,"Diesel","Individual","Manual","First Owner",23.4,1200,74,"5",190,2000
"Skoda","Rapid 1.5 TDI Ambition",2014,4366,120000,"Diesel","Individual","Manual","Second Owner",21.14,1500,103.52,"5",250,1500
"Honda","City 2017-2020 EXi",2006,1864.4,140000,"Petrol","Individual","Manual","Third Owner",17.7,1500,78,"5",124.587,2700
"Hyundai","i20 Sportz Diesel",2010,2655,127000,"Diesel","Individual","Manual","First Owner",23,1400,90,"5",219.744,1750
"Maruti","Swift VXI BSIII",2007,1534,120000,"Petrol","Individual","Manual","First Owner",16.1,1300,88.2,"5",112.815,4500
"Hyundai","Xcent 1.2 VTVT E Plus",2017,5192,45000,"Petrol","Individual","Manual","First Owner",20.14,1200,81.86,"5",113.75,4000
"Maruti","Wagon R LXI DUO BSIII",2007,1132.8,175000,"LPG","Individual","Manual","First Owner",17.3,1100,57.5,"5",76.518,4500
"Maruti","800 DX BSII",2001,531,5000,"Petrol","Individual","Manual","Second Owner",16.1,800,37,"4",59,2500
"Toyota","Etios VXD",2011,4130,90000,"Diesel","Individual","Manual","First Owner",23.59,1400,67.1,"5",170,1800
"Ford","Figo Diesel Celebration Edition",2013,2360,169000,"Diesel","Individual","Manual","First Owner",20,1400,68.1,"5",160,2000
"Renault","Duster 110PS Diesel RxL",2014,5900,68000,"Diesel","Individual","Manual","Second Owner",19.01,1500,108.45,"5",248,2250
"Maruti","Zen LX",2005,1085.6,100000,"Petrol","Individual","Manual","Second Owner",17.3,1000,60,"5",78,4500
"Maruti","Swift Dzire VDi",2009,3304,140000,"Diesel","Individual","Manual","Second Owner",19.3,1200,73.9,"5",190,2000
"Maruti","Swift 1.3 VXi",2007,2360,80000,"Petrol","Individual","Manual","Second Owner",NA,NA,NA,NA,NA,NA
"Maruti","Wagon R LXI Minor",2009,2124,90000,"Petrol","Individual","Manual","Second Owner",18.9,1100,67,"5",84,3500
"Mahindra","KUV 100 mFALCON G80 K8 5str",2016,4720,40000,"Petrol","Individual","Manual","First Owner",18.15,1200,82,"5",115,3500
"Maruti","Ertiga SHVS VDI",2016,9180.4,70000,"Diesel","Individual","Manual","Second Owner",24.52,1200,88.5,"7",200,1750
"Hyundai","i20 1.4 CRDi Asta",2012,5900,53000,"Diesel","Individual","Manual","Second Owner",23,1400,90,"5",219.744,1750
"Maruti","Alto LX",2002,1770,80000,"Petrol","Individual","Manual","Second Owner",19.7,800,46.3,"5",62,3000
"Hyundai","i20 2015-2017 Asta 1.4 CRDi",2016,8024,100000,"Diesel","Individual","Manual","First Owner",22.54,1400,88.73,"5",219.7,1500
"Mahindra","Verito 1.5 D4 BSIII",2011,2053.2,100000,"Diesel","Individual","Manual","Second Owner",21,1500,64.1,"5",160,2000
"Honda","WR-V i-DTEC VX",2017,11210,50000,"Diesel","Individual","Manual","First Owner",25.5,1500,98.6,"5",200,1750
"Maruti","Swift Dzire ZDI",2015,6195,40000,"Diesel","Individual","Manual","First Owner",26.59,1200,74,"5",190,2000
"Maruti","SX4 ZDI",2012,7080,72000,"Diesel","Individual","Manual","First Owner",21.5,1200,88.8,"5",200,1750
"Tata","Tigor 2017-2020 XZ",2018,5900,35000,"Petrol","Individual","Manual","First Owner",20.3,1200,83.81,"5",114,3500
"Maruti","Baleno Delta 1.2",2016,6785,45000,"Petrol","Individual","Manual","First Owner",21.4,1200,83.1,"5",115,4000
"Maruti","Alto 800 LXI",2017,3245,28000,"Petrol","Individual","Manual","First Owner",24.7,800,47.3,"5",69,3500
"Chevrolet","Enjoy TCDi LTZ 7 Seater",2013,3540,70000,"Diesel","Individual","Manual","First Owner",18.2,1200,73.8,"7",172.5,1750
"Maruti","Wagon R LXI Minor",2009,2596,120000,"Petrol","Individual","Manual","First Owner",18.9,1100,67,"5",84,3500
"Maruti","Omni E MPI STD BS IV",2018,3008.9882,25000,"Petrol","Individual","Manual","First Owner",16.8,800,34.2,"8",59,2500
"Maruti","Vitara Brezza LDi Option",2017,7906,70000,"Diesel","Individual","Manual","First Owner",24.3,1200,88.5,"5",200,1750
"Fiat","Palio 1.2 ELX",2003,826,50000,"Petrol","Individual","Manual","Second Owner",NA,NA,NA,NA,NA,NA
"Maruti","Omni 8 Seater BSIV",2012,1770,35000,"Petrol","Individual","Manual","Second Owner",14,800,35,"5",59.841,3000
