"brand","car_type","year","selling_price","km_driven","fuel","seller_type","transmission","owner","mileage","engine","max_power","seats","torque","rpm"
"Maruti","Swift Dzire VDI",2014,5400,145500,"Diesel","Individual","Manual","First Owner",23.4,1200,74,"5",190,2000
"Skoda","Rapid 1.5 TDI Ambition",2014,4440,120000,"Diesel","Individual","Manual","Second Owner",21.14,1500,103.52,"5",250,1500
"Honda","City 2017-2020 EXi",2006,1896,140000,"Petrol","Individual","Manual","Third Owner",17.7,1500,78,"5",124.587,2700
"Hyundai","i20 Sportz Diesel",2010,2700,127000,"Diesel","Individual","Manual","First Owner",23,1400,90,"5",219.744,1750
"Maruti","Swift VXI BSIII",2007,1560,120000,"Petrol","Individual","Manual","First Owner",16.1,1300,88.2,"5",112.815,4500
"Hyundai","Xcent 1.2 VTVT E Plus",2017,5280,45000,"Petrol","Individual","Manual","First Owner",20.14,1200,81.86,"5",113.75,4000
"Maruti","Wagon R LXI DUO BSIII",2007,1152,175000,"LPG","Individual","Manual","First Owner",17.3,1100,57.5,"5",76.518,4500
"Maruti","800 DX BSII",2001,540,5000,"Petrol","Individual","Manual","Second Owner",16.1,800,37,"4",59,2500
"Toyota","Etios VXD",2011,4200,90000,"Diesel","Individual","Manual","First Owner",23.59,1400,67.1,"5",170,1800
"Ford","Figo Diesel Celebration Edition",2013,2400,169000,"Diesel","Individual","Manual","First Owner",20,1400,68.1,"5",160,2000
"Renault","Duster 110PS Diesel RxL",2014,6000,68000,"Diesel","Individual","Manual","Second Owner",19.01,1500,108.45,"5",248,2250
"Maruti","Zen LX",2005,1104,100000,"Petrol","Individual","Manual","Second Owner",17.3,1000,60,"5",78,4500
"Maruti","Swift Dzire VDi",2009,3360,140000,"Diesel","Individual","Manual","Second Owner",19.3,1200,73.9,"5",190,2000
"Maruti","Swift 1.3 VXi",2007,2400,80000,"Petrol","Individual","Manual","Second Owner",NA,NA,NA,NA,NA,NA
"Maruti","Wagon R LXI Minor",2009,2160,90000,"Petrol","Individual","Manual","Second Owner",18.9,1100,67,"5",84,3500
"Mahindra","KUV 100 mFALCON G80 K8 5str",2016,4800,40000,"Petrol","Individual","Manual","First Owner",18.15,1200,82,"5",115,3500
